Name	From	Ingredient	Ingredient Price	Market Value	Bill of Materials	ROI	Net Profit	Ingredient #	Net profit per step
Meth				$70.00	$16.00	4.375	$54.00	0	$54.00
Mega Crystal	Meth	Mouth Wash	$4.00	$91.00	$20.00	4.55	$71.00	1	$35.50
Mega Smegma	Meth	Chili	$7.00	$97.00	$23.00	4.217391304	$74.00	1	$37.00
Ultra Monkey	Meth	Energy Drink	$6.00	$92.00	$22.00	4.181818182	$70.00	1	$35.00
Pink Cookies	Meth	Battery	$8.00	$98.00	$24.00	4.083333333	$74.00	1	$37.00
Pink Mint	Meth	Iodine	$8.00	$99.00	$24.00	4.125	$75.00	1	$37.50
Tokyo Ass	Meth	Horse Semen	$9.00	$106.00	$25.00	4.24	$81.00	1	$40.50
Slimy Thunderfuck	Meth	Flu Medicine	$5.00	$88.00	$21.00	4.19047619	$67.00	1	$33.50
Fat Cum	Meth	Motor Oil	$6.00	$94.00	$22.00	4.272727273	$72.00	1	$36.00
Death McLovin	Meth	Paracetamol	$3.00	$87.00	$19.00	4.578947368	$68.00	1	$34.00
Nightmare Durkle	Ultra Monkey	Battery	$8.00	$120.00	$30.00	4	$90.00	2	$30.00
Super Cock	Meth	Donut	$3.00	$90.00	$19.00	4.736842105	$71.00	1	$35.50
Island Shart	Meth	Gasoline	$5.00	$70.00	$21.00	3.333333333	$49.00	1	$24.50
Bio Crack	Meth	Addy	$9.00	$101.00	$25.00	4.04	$76.00	1	$38.00
White Cum	Meth	Mega Bean	$7.00	$95.00	$23.00	4.130434783	$72.00	1	$36.00
Aspen Cake	Meth	Cuke	$2.00	$85.00	$18.00	4.722222222	$67.00	1	$33.50
Fat Balls	Meth	Viagra	$4.00	$102.00	$20.00	5.1	$82.00	1	$41.00
Girl Scout Queef	Fat Balls	Cuke	$2.00	$118.00	$22.00	5.363636364	$96.00	2	$32.00
Bio Punch	Girl Scout Queef	Energy Drink	$6.00	$125.00	$28.00	4.464285714	$97.00	3	$24.25
Death Punch	Bio Punch	Battery	$8.00	$153.00	$36.00	4.25	$117.00	4	$23.40
Granddaddy Gold	Fat Balls	Viagra	$4.00	$127.00	$24.00	5.291666667	$103.00	2	$34.33
Extreme Cake	Granddaddy Gold	Addy	$9.00	$148.00	$33.00	4.484848485	$115.00	3	$28.75
Extreme Stink	Mega Crystal	Horse Semen	$9.00	$127.00	$29.00	4.379310345	$98.00	2	$32.67
Nightmare Ghost	Death Punch	Banana	$2.00	$182.00	$38.00	4.789473684	$144.00	5	$24.00
Tokyo Grool	Nightmare Ghost	Chili	$7.00	$199.00	$45.00	4.422222222	$154.00	6	$22.00
Ultra Ghost	Tokyo Grool	Gasoline	$5.00	$200.00	$50.00	4	$150.00	7	$18.75
Afgan Cheese	Ultra Ghost	Banana	$2.00	$252.00	$52.00	4.846153846	$200.00	8	$22.22
Mega Urkle	Afgan Cheese	Flu Medicine	$5.00	$239.00	$57.00	4.192982456	$182.00	9	$18.20
Strawberry Death	Mega Urkle	Donut	$3.00	$225.00	$60.00	3.75	$165.00	10	$15.00
Gorilla McLovin	Meth	Banana	$2.00	$84.00	$18.00	4.666666667	$66.00	1	$33.00
Strawberry Punch	Gorilla McLovin	Chili	$7.00	$111.00	$25.00	4.44	$86.00	2	$28.67
Purple Diamond	Strawberry Punch	Viagra	$4.00	$143.00	$29.00	4.931034483	$114.00	3	$28.50
Pink Durkle	Purple Diamond	Gasoline	$5.00	$129.00	$34.00	3.794117647	$95.00	4	$19.00
Strawberry Splooge	Purple Diamond	Cuke	$2.00	$175.00	$31.00	5.64516129	$144.00	4	$28.80
Thick Crack	Purple Diamond	Battery	$8.00	$171.00	$37.00	4.621621622	$134.00	4	$26.80
Granddaddy Crystal	Purple Diamond	Donut	$3.00	$162.00	$32.00	5.0625	$130.00	4	$26.00
California Cum	Purple Diamond	Energy Drink	$6.00	$136.00	$35.00	3.885714286	$101.00	4	$20.20
Ice Cream Ghost	Purple Diamond	Paracetamol	$3.00	$161.00	$32.00	5.03125	$129.00	4	$25.80
Big Cum	Purple Diamond	Mega Bean	$7.00	$168.00	$36.00	4.666666667	$132.00	4	$26.40
Hairy Cheese	Pink Mint	Addy	$9.00	$130.00	$33.00	3.939393939	$97.00	2	$32.33
Gorilla Urkle	Hairy Cheese	Viagra	$4.00	$162.00	$37.00	4.378378378	$125.00	3	$31.25
Strawberry Cum	Gorilla Urkle	Cuke	$2.00	$178.00	$39.00	4.564102564	$139.00	4	$27.80
Strawberry Crack	Strawberry Cum	Donut	$3.00	$182.00	$42.00	4.333333333	$140.00	5	$23.33
